#				#multiple choices	question text	question image	answers (image or text)	right answers (image or text)			
#				#fill the blanks	question text	question image	text to fill	wrong words			
#				#matching	question text	left type	right type	left items (image or text)	right items (image or text)	audio	기타 수정사항
#				#tracing	question text	question image	tracing word				
#Book Folder	Language	Book Name	Set	#reordering	question text	images in order					
en_101	en-US	Transport	1	matching		image	image	transport_8_cropped_bus.png,transport_10_cropped_truck.png,transport_16_cropped_motorbike.png	transport_8_cropped_bus.png,transport_10_cropped_truck.png,transport_16_cropped_motorbike.png		
en_101	en-US	Transport	1	matching		image	image	transport_12_cropped_bike.png,transport_6_cropped_train.png,transport_2_cropped_airplane.png	transport_12_cropped_bike.png,transport_6_cropped_train.png,transport_2_cropped_airplane.png		
en_101	en-US	Transport	1	matching		text	text	bus,train,bike	bus,train,bike		
en_101	en-US	Transport	1	tracing		transport_8_cropped_bus.png	bus				
en_101	en-US	Transport	2	matching		text	image	Bus,Truck,Motorbike	transport_8_cropped_bus.png,transport_10_cropped_truck.png,transport_16_cropped_motorbike.png		
en_101	en-US	Transport	2	multiple choices	Choose: Airplane.		transport_8_cropped_bus.png,transport_6_cropped_train.png,transport_2_cropped_airplane.png,transport_12_cropped_bike.png	transport_2_cropped_airplane.png			
en_101	en-US	Transport	2	tracing		transport_12_cropped_bike.png	bike				
en_101	en-US	Transport	2	multiple choices		transport_8_cropped_bus.png	Bike,Bus,Train,Truck	Bus			
en_101	en-US	Transport	3	multiple choices		transport_4_cropped_helicopter.png	Helicopter,Airplane,Motorbike,Truck	Helicopter			
en_101	en-US	Transport	3	tracing		transport_6_cropped_train.png	train				
en_101	en-US	Transport	3	multiple choices		transport_10_cropped_truck.png	Train,Truck,Bike,Bus	Truck			
en_101	en-US	Transport	3	multiple choices	Choose: Truck.		transport_8_cropped_bus.png,transport_6_cropped_train.png,transport_10_cropped_truck.png,transport_14_cropped_boat.png	transport_10_cropped_truck.png			
en_102	en-US	Yummy foods	1	matching		image	image	foods_2_cropped_fruit.png,foods_4_cropped_bread.png,foods_5_cropped_vegetables.png	foods_2_cropped_fruit.png,foods_4_cropped_bread.png,foods_5_cropped_vegetables.png		
en_102	en-US	Yummy foods	1	matching		image	image	foods_6_cropped_rice.png,foods_7_cropped_water.png,foods_8_cropped_milk.png	foods_6_cropped_rice.png,foods_7_cropped_water.png,foods_8_cropped_milk.png		
en_102	en-US	Yummy foods	1	matching		text	text	water,rice,bread	water,rice,bread		
en_102	en-US	Yummy foods	1	tracing		foods_8_cropped_milk.png	milk				
en_102	en-US	Yummy foods	2	matching		text	image	Fruits,Breads,Vegetables	foods_2_cropped_fruit.png,foods_4_cropped_bread.png,foods_5_cropped_vegetables.png		
en_102	en-US	Yummy foods	2	multiple choices	Choose: Vegetables.		foods_2_cropped_fruit.png,foods_4_cropped_bread.png,foods_6_cropped_rice.png,foods_5_cropped_vegetables.png	foods_5_cropped_vegetables.png			
en_102	en-US	Yummy foods	2	tracing		foods_7_cropped_water.png	water				
en_102	en-US	Yummy foods	2	multiple choices		foods_8_cropped_milk.png	Breads,Milk,Rice,Fruits	Milk			
en_102	en-US	Yummy foods	3	multiple choices		foods_2_cropped_fruit.png	Breads,Rice,Milk,Fruits	Fruits			
en_102	en-US	Yummy foods	3	tracing		foods_5_cropped_vegetables.png	vegetables				
en_102	en-US	Yummy foods	3	multiple choices		foods_7_cropped_water.png	Fruits,Meats,Water,Milk	Water			
en_102	en-US	Yummy foods	3	multiple choices	Choose: Rice.		foods_4_cropped_bread.png,foods_5_cropped_vegetables.png,foods_6_cropped_rice.png,foods_3_cropped_meat.png	foods_6_cropped_rice.png			
en_103	en-US	Big and Small	1	matching		image	image	big_small_5_cropped_pigsmall.png,big_small_7_cropped_cowsmall.png,big_small_3_cropped_dogsmall.png	big_small_5_cropped_pigsmall.png,big_small_7_cropped_cowsmall.png,big_small_3_cropped_dogsmall.png		
en_103	en-US	Big and Small	1	tracing		big_small_3_cropped_dogsmall.png	small				
en_103	en-US	Big and Small	1	matching		text	text	pig,cow,dog	pig,cow,dog		
en_103	en-US	Big and Small	1	tracing		big_small_4_cropped_dogbig.png	big				
en_103	en-US	Big and Small	2	multiple choices	Choose: Pig.		big_small_1_cropped_birdsmall.png,big_small_7_cropped_cowsmall.png,big_small_5_cropped_pigsmall.png,big_small_3_cropped_dogsmall.png	big_small_5_cropped_pigsmall.png			
en_103	en-US	Big and Small	2	multiple choices	Choose: Small pig.		big_small_1_cropped_birdsmall.png,big_small_5_cropped_pigsmall.png,big_small_6_cropped_pigbig.png,big_small_8_cropped_cowbig.png	big_small_5_cropped_pigsmall.png			
en_103	en-US	Big and Small	2	matching		text	image	Small dog,Small cow,Small bird	big_small_3_cropped_dogsmall.png,big_small_7_cropped_cowsmall.png,big_small_1_cropped_birdsmall.png		
en_103	en-US	Big and Small	2	matching		text	image	Big bird,Big cow,Big pig	big_small_2_cropped_birdbig.png,big_small_8_cropped_cowbig.png,big_small_6_cropped_pigbig.png		
en_103	en-US	Big and Small	3	matching		image	image	big_small_2_cropped_birdbig.png,big_small_4_cropped_dogbig.png,big_small_8_cropped_cowbig.png	big_small_1_cropped_birdsmall.png,big_small_3_cropped_dogsmall.png,big_small_7_cropped_cowsmall.png		
en_103	en-US	Big and Small	3	multiple choices	Choose: Big dog.		big_small_1_cropped_birdsmall.png,big_small_2_cropped_birdbig.png,big_small_4_cropped_dogbig.png,big_small_3_cropped_dogsmall.png	big_small_4_cropped_dogbig.png			
en_103	en-US	Big and Small	3	multiple choices	Choose: Small cow.		big_small_5_cropped_pigsmall.png,big_small_3_cropped_dogsmall.png,big_small_8_cropped_cowbig.png,big_small_7_cropped_cowsmall.png	big_small_7_cropped_cowsmall.png			
en_103	en-US	Big and Small	3	multiple choices		big_small_2_cropped_birdbig.png	Small bird,Small dog,Big bird,Big dog	Big bird			
en_104	en-US	Colors	3	fill the blanks		color_1.png	Colors! Red, orange, yellow, [green], blue, and purple.	frog		en1_4_14.m4a	
en_104	en-US	Colors	1	matching		image	image	color_2_cropped_red.png,color_6_cropped_yellow.png,color_8_cropped_green.png	color_2_cropped_red.png,color_6_cropped_yellow.png,color_8_cropped_green.png		
en_104	en-US	Colors	1	tracing		color_10_cropped_blue.png	blue				
en_104	en-US	Colors	1	matching		text	text	red,yellow,blue	red,yellow,blue		
en_104	en-US	Colors	1	matching		text	text	green,purple,orange	green,purple,orange		
en_104	en-US	Colors	2	matching		text	image	Orange,Yellow,Green	color_4_cropped_orange.png,color_6_cropped_yellow.png,color_8_cropped_green.png		
