book_en_413_page_0_1.m4a	00:00:01.30
book_en_413_page_10_1.m4a	00:00:04.20
book_en_413_page_10_2.m4a	00:00:04.64
book_en_413_page_11_1.m4a	00:00:03.25
book_en_413_page_11_2.m4a	00:00:04.88
book_en_413_page_12_1.m4a	00:00:03.41
book_en_413_page_1_1.m4a	00:00:05.06
book_en_413_page_1_2.m4a	00:00:05.13
book_en_413_page_2_1.m4a	00:00:02.02
book_en_413_page_2_2.m4a	00:00:01.67
book_en_413_page_2_3.m4a	00:00:00.95
book_en_413_page_2_4.m4a	00:00:02.44
book_en_413_page_3_1.m4a	00:00:03.13
book_en_413_page_3_2.m4a	00:00:01.72
book_en_413_page_4_1.m4a	00:00:02.90
book_en_413_page_4_2.m4a	00:00:02.41
book_en_413_page_4_3.m4a	00:00:01.63
book_en_413_page_5_1.m4a	00:00:03.81
book_en_413_page_5_2.m4a	00:00:03.44
book_en_413_page_6_1.m4a	00:00:04.55
book_en_413_page_6_2.m4a	00:00:03.51
book_en_413_page_7_1.m4a	00:00:07.24
book_en_413_page_8_1.m4a	00:00:03.65
book_en_413_page_8_2.m4a	00:00:03.37
book_en_413_page_9_1.m4a	00:00:07.17
book_en_413_page_9_2.m4a	00:00:01.37
